101,ibarra,2025-05-31,724.13,36.71,7.76,12.95
101,ibarra,2025-06-01,677.02,14.71,28.89,7.38
101,ibarra,2025-06-02,717.26,25.07,18.89,10.05
101,ibarra,2025-06-03,467.81,30.61,31.45,7.07
101,ibarra,2025-06-04,385.42,26.92,18.87,8.81
101,ibarra,2025-06-05,426.5,17.94,34.87,10.9
101,ibarra,2025-06-06,766.26,11.21,19.97,24.74
101,ibarra,2025-06-07,604.25,56.7,7.26,7.07
101,ibarra,2025-06-08,689.21,42.91,8.48,23.83
101,ibarra,2025-06-09,1097.39,38.53,21.34,20.21
101,ibarra,2025-06-10,875.97,47.99,19.45,16.37
101,ibarra,2025-06-11,973.18,19.75,22.38,12.91
101,ibarra,2025-06-12,509.2,45.96,13.72,23.42
101,ibarra,2025-06-13,775.08,31.0,32.62,5.49
101,ibarra,2025-06-14,671.75,42.1,12.18,15.0
101,ibarra,2025-06-15,603.91,24.56,21.83,16.73
101,ibarra,2025-06-16,519.63,12.55,31.22,14.7
101,ibarra,2025-06-17,1166.72,37.45,16.49,6.71
101,ibarra,2025-06-18,836.92,51.05,9.98,5.95
101,ibarra,2025-06-19,1011.92,32.55,12.52,23.77
101,ibarra,2025-06-20,560.99,21.91,7.68,13.62
101,ibarra,2025-06-21,1001.35,45.12,26.01,15.87
101,ibarra,2025-06-22,661.61,32.51,34.28,5.14
101,ibarra,2025-06-23,696.78,20.58,26.82,7.19
101,ibarra,2025-06-24,1172.63,34.61,31.31,24.89
101,ibarra,2025-06-25,979.96,32.98,8.54,13.78
101,ibarra,2025-06-26,543.03,26.17,14.62,23.7
101,ibarra,2025-06-27,738.68,32.24,23.62,12.23
101,ibarra,2025-06-28,729.2,50.56,23.69,21.48
101,ibarra,2025-06-29,622.76,26.02,21.64,13.61
101,ibarra,2025-06-30,1030.5,59.0,33.8,8.19
101,ibarra,2025-07-01,493.71,14.72,26.32,8.9
101,ibarra,2025-07-02,874.17,40.02,8.28,15.42
101,ibarra,2025-07-03,1049.13,11.05,15.46,21.46
101,ibarra,2025-07-04,570.87,19.08,8.75,13.38
202,manta,2025-05-31,1178.28,31.22,25.69,10.34
202,manta,2025-06-01,920.24,42.01,13.34,24.0
202,manta,2025-06-02,515.48,40.67,32.92,10.51
202,manta,2025-06-03,941.45,59.06,9.02,23.49
202,manta,2025-06-04,725.23,41.11,17.94,7.93
202,manta,2025-06-05,947.19,29.7,31.17,7.1
202,manta,2025-06-06,936.84,30.07,18.08,9.36
202,manta,2025-06-07,1081.81,10.58,26.92,14.86
202,manta,2025-06-08,1033.76,39.0,9.12,6.75
202,manta,2025-06-09,634.3,56.63,19.31,13.4
202,manta,2025-06-10,660.97,44.16,16.69,13.37
202,manta,2025-06-11,760.93,40.09,27.42,13.81
202,manta,2025-06-12,1110.48,47.24,18.4,8.51
202,manta,2025-06-13,966.62,17.99,15.43,6.87
202,manta,2025-06-14,941.78,35.41,26.05,23.61
202,manta,2025-06-15,644.39,51.15,5.29,5.62
202,manta,2025-06-16,1049.56,51.44,9.64,24.35
202,manta,2025-06-17,1084.55,46.61,25.3,17.89
202,manta,2025-06-18,414.22,17.75,6.78,7.25
202,manta,2025-06-19,531.01,44.82,6.75,17.46
202,manta,2025-06-20,789.94,44.79,28.0,18.64
202,manta,2025-06-21,798.88,11.07,9.18,15.91
202,manta,2025-06-22,1037.77,19.03,24.68,6.53
202,manta,2025-06-23,915.08,45.23,24.04,13.66
202,manta,2025-06-24,1090.86,49.74,13.36,21.65
